HRT	S1	XT	S2	X1	X2	Z	C	SCO2	pH	qCO2	PCO2	qCH4
5.00	0.92	1.30	82.60	1.42	1.12	145.00	75.00	12.40	7.01	42.80	0.41	62.40
8.00	0.34	0.92	31.89	1.39	1.19	144.00	123.00	10.90	7.32	27.90	0.37	46.90
10.00	0.25	0.78	15.30	1.35	1.19	144.00	139.00	10.50	7.40	22.60	0.36	39.60
12.00	0.20	0.68	8.90	1.32	1.17	144.00	146.00	10.30	7.43	19.00	0.36	33.80
15.00	0.15	0.58	5.40	1.27	1.13	145.00	150.00	10.10	7.45	15.30	0.36	27.50
17.00	0.13	0.53	4.30	1.24	1.10	146.00	151.00	10.00	7.46	13.60	0.36	24.40
20.00	0.12	0.47	3.40	1.19	1.06	146.00	153.00	9.90	7.47	11.70	0.36	20.90
22.00	0.11	0.44	3.00	1.16	1.04	147.00	153.00	9.80	7.47	10.60	0.36	19.10
25.00	0.10	0.40	2.60	1.15	1.00	147.00	154.00	9.80	7.48	9.40	0.36	16.90
30.00	0.08	0.35	2.10	1.05	0.94	148.00	155.00	9.70	7.48	7.90	0.36	14.20
50.00	0.06	0.24	1.40	0.86	0.77	150.00	159.00	9.60	7.50	4.80	0.36	8.70
70.00	0.05	0.19	1.20	0.72	0.65	152.00	160.00	9.50	7.51	3.50	0.36	6.30
90.00	0.05	0.15	1.00	0.62	0.56	153.00	162.00	9.50	7.51	2.80	0.36	4.90
