D*S_1	Yexp	Ymodel
0.18400000000000002	0.92	0.9200566276569555
0.0425	0.34	0.3408144990666021
0.025	0.25	0.24822146230535191
0.016666666666666666	0.2	0.19778352088049603
0.01	0.15	0.15299095433029566
0.007647058823529412	0.13	0.13456874648298042
0.006	0.12	0.11723098757954407
0.005	0.11	0.10778619891341121
0.004	0.1	0.09712989749901044
0.0026666666666666666	0.08	0.08372917077865466
0.0012	0.06	0.06099238724769508
0.0007142857142857143	0.05	0.051731940723682875
0.0005555555555555556	0.05	0.04696360653531979
