X	Yexp	Ymodel
1.3	6.140000000000001	5.834631257545075
0.92	3.885	3.9337149340934134
0.78	3.122	3.233377341242801
0.68	2.61	2.733136203492364
0.58	2.094666666666667	2.232895065741926
0.53	1.8511764705882352	1.9827744968667083
0.47	1.5765000000000002	1.6826298142164453
0.44	1.4345454545454546	1.5325574728913143
0.4	1.264	1.3324610177911396
0.35	1.055	1.0823404489159207
0.24	0.6352000000000001	0.5320751973904401
0.19	0.4544285714285714	0.28195462851522146
0.15	0.3538888888888889	0.08185817341504653
